GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
emi-warning-service,com.smartbalaram.emi.controller,EmiWarningController,0,32,0,0,0,6,0,6,0,6
emi-warning-service,com.smartbalaram.emi.util,AppConstants,3,0,0,0,1,0,1,0,1,0
emi-warning-service,com.smartbalaram.emi.util,RiskLevelUtils,8,55,1,7,4,15,4,8,3,4
emi-warning-service,com.smartbalaram.emi.util,KafkaConstants,3,0,0,0,1,0,1,0,1,0
emi-warning-service,com.smartbalaram.emi.service,EmiWarningService,102,113,2,0,23,25,9,5,8,5
emi-warning-service,com.smartbalaram.emi.kafka,KafkaProducerService,0,22,0,0,0,5,0,3,0,3
emi-warning-service,com.smartbalaram.emi.config,KafkaProducerConfig,33,0,0,0,7,0,3,0,3,0
emi-warning-service,com.smartbalaram.emi.config,RiskConfig,195,0,16,0,6,0,23,0,15,0
emi-warning-service,com.smartbalaram.emi.model,EmiRequest,110,127,16,10,0,10,15,17,2,17
emi-warning-service,com.smartbalaram.emi.model,EmiResponse.EmiResponseBuilder,18,63,0,0,0,1,1,10,1,10
emi-warning-service,com.smartbalaram.emi.model,EmiResponse,286,55,42,0,2,10,34,10,13,10
emi-warning-service,com.smartbalaram.emi.model,EmiRequest.EmiRequestBuilder,24,39,0,0,0,1,3,6,3,6
emi-warning-service,com.smartbalaram.emi,EmiWarningServiceApplication,5,3,0,0,2,1,1,1,1,1
emi-warning-service,com.smartbalaram.emi.graphql,EmiGraphQLController,40,0,0,0,9,0,8,0,8,0
